Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Antigua and Barbuda	ATG	GDP per capita (current US$)	NY.GDP.PCAP.CD																		1063.420291	1198.507194	1483.516196	1789.589427	2023.399864	2268.789737	2542.527017	2946.240315	3452.522496	4220.961513	4969.78203	5944.6707	6585.840403	6889.004721	7156.853555	7296.551713	7652.102825	8218.597716	7841.463843	8379.576969	8755.156647	9115.234346	9363.186445	9932.029681	9414.160591	9443.063591	9801.966935	10419.31113	11452.73878	12812.76444	14350.91889	14797.36849	13082.28181	12174.6978	11931.204	12517.55794	12194.54959	12900.903	13602.42124	14506.60354	14803.01093	
Australia	AUS	GDP per capita (current US$)	NY.GDP.PCAP.CD	1807.349784	1874.304768	1851.424816	1963.639079	2127.566902	2277.066676	2339.861938	2575.620077	2719.429797	2986.218889	3299.037297	3489.086601	3942.81242	4762.479304	6471.554165	6992.538975	7474.862358	7763.130772	8239.954825	9279.253595	10191.81606	11830.86532	12763.32361	11515.80647	12428.85793	11434.88989	11360.52766	11623.35967	14257.02216	17801.26827	18214.83698	18824.2474	18569.76879	17633.38138	18045.43906	20319.63063	21861.32551	23468.59683	21318.96417	20521.77757	21669.41091	19482.5679	20074.22931	23437.31215	30401.55479	33961.6818	36019.20305	40905.47089	49535.25787	42709.8033	51936.88871	62411.78545	67891.58681	68042.53479	62403.09553	56644.03396	49937.73139	53793.53726	
Austria	AUT	GDP per capita (current US$)	NY.GDP.PCAP.CD	935.4604269	1031.815004	1087.834243	1167.000532	1269.412583	1374.53214	1486.968606	1569.667183	1677.673528	1825.386126	2058.769079	2380.978443	2924.048871	3890.722456	4630.757207	5285.620724	5678.386638	6810.627729	8205.468927	9793.765307	10869.54642	9385.249018	9410.347225	9537.407431	8991.065076	9172.096769	13083.0727	16392.76957	17578.61894	17468.94619	21680.98969	22410.91174	24880.16407	24081.52781	25646.70066	30325.84958	29809.07677	26705.4786	27361.87511	27174.29716	24564.45829	24537.51426	26401.74546	32222.89724	36821.52147	38403.13388	40635.28182	46855.77175	51708.76575	47963.1794	46858.04327	51374.95841	48567.69529	50716.70871	51717.49594	44176.67174	45103.32981	47380.82964	
Azerbaijan	AZE	GDP per capita (current US$)	NY.GDP.PCAP.CD																															1266.020967	1131.397355	673.331934	529.8136618	436.216869	397.1981161	409.2107552	505.5637747	561.9070354	573.8932966	655.0974326	703.6838434	763.080638	883.6439965	1045.009379	1578.40239	2473.081819	3851.437869	5574.603802	4950.294791	5842.805784	7189.691229	7496.294648	7875.756953	7891.313147	5500.310382	3880.738731	4135.138601	
Burundi	BDI	GDP per capita (current US$)	NY.GDP.PCAP.CD	70.34907861	71.48727773	73.78176495	78.9002836	86.60319464	51.65736468	52.47672296	55.13168671	55.24340419	56.07888142	70.24312709	72.12955294	69.63919255	85.04700015	95.41395105	114.6635856	119.9073909	143.2891278	155.9176618	194.9753861	223.4072262	229.4581867	233.817671	243.4238066	215.9441863	244.5689375	248.2101339	226.8497158	210.7500959	210.9695203	209.0516152	210.6438772	191.310913	162.635225	157.5430015	167.7991717	143.8532933	159.1755281	144.4746122	128.6964397	135.9984455	133.7427689	122.4335893	112.8493703	127.4296648	150.4876135	165.9047485	170.8151515	196.2718079	209.8537621	231.7955369	247.2293791	250.3627366	255.372691	273.538285	304.3742207	281.1813376	292.0052103	
Belgium	BEL	GDP per capita (current US$)	NY.GDP.PCAP.CD	1273.691659	1350.197673	1438.523233	1535.023729	1701.846276	1835.594766	1957.62608	2086.636005	2222.361511	2458.08182	2780.696187	3099.430158	3852.141729	4927.195923	5764.489883	6737.248251	7281.817735	8472.054468	10344.84713	11873.8354	12932.8606	10679.66389	9393.876692	8893.58613	8502.538597	8797.659679	12235.18414	15216.87102	16478.83159	16613.51665	20710.64434	21154.29184	23497.72741	22403.21682	24338.1377	28565.91915	27701.90329	25027.74459	25541.67472	25444.13926	23207.40591	23121.60114	25052.33939	30743.90254	35589.68912	36967.25918	38852.37293	44403.7669	48424.5756	44880.57302	44380.17663	47743.78053	44826.43961	46680.38982	47355.31201	40431.95262	41454.52493	43467.4459	
Benin	BEN	GDP per capita (current US$)	NY.GDP.PCAP.CD	93.02250899	95.57215471	94.46453498	99.85911389	104.339768	110.1327938	112.9408364	111.9516019	116.895066	116.0250943	114.5565965	112.5700891	134.8194079	161.9873737	174.0141491	207.3004397	208.6561538	218.4543658	263.5810576	327.821678	378.0438983	337.9781947	322.7776995	271.1292402	252.869785	244.4109989	303.3488979	344.5030708	346.7360377	311.6783039	393.6862144	385.753616	317.9628553	411.9260305	279.6665043	367.387341	387.4329246	361.1002698	379.442354	403.6237038	374.1923942	378.736054	418.6985763	519.2922847	583.4093514	601.799977	625.830092	706.0535419	820.1513498	793.45243	757.6959074	825.9427854	837.9505001	915.3281554	943.686575	783.9630778	788.5324424	827.3936794	
Burkina Faso	BFA	GDP per capita (current US$)	NY.GDP.PCAP.CD	68.42474857	71.55818009	76.5206114	78.37207194	80.47276675	81.7251155	82.54563689	84.36316494	84.73304935	86.52021111	81.49989868	84.28781501	99.32676402	113.7805843	124.3590305	152.7282201	155.648998	176.7833677	225.9416525	262.0760096	282.6857353	254.2307807	245.0947024	217.9947508	193.8432403	200.8944225	256.7623188	291.1319639	313.0618911	304.8534388	351.9793229	346.4106724	240.963481	244.1270735	193.0702363	235.8321973	249.3602944	229.4931177	255.7182334	265.3401156	226.4759814	235.4912324	260.7635413	332.3443051	371.3230865	406.9988071	420.5825233	475.1100122	569.7612784	552.7455521	575.4464527	666.8404101	673.8228182	699.781537	703.8216565	575.3144542	583.8308982	642.0371483	
Bangladesh	BGD	GDP per capita (current US$)	NY.GDP.PCAP.CD	88.69121063	97.14273018	99.57671365	101.2604912	99.50386427	105.7891703	111.6586395	121.6620934	121.5288977	133.5754367	138.2479647	131.7557632	93.02487011	117.7258149	179.045065	272.7451978	138.5922339	128.8092611	172.414696	196.4426256	222.6323509	241.8703692	215.3932576	199.3366454	208.5346351	239.0392205	227.4230256	247.072312	263.2227905	277.8178391	297.5679945	284.7256059	285.0955051	291.7144894	290.6524529	319.6087004	382.9357636	389.5236314	395.2974607	397.3548219	405.6033071	402.5981152	400.6135745	432.7388972	460.7579167	484.1554071	494.0501466	541.0651484	615.7775411	681.1205368	757.6717572	835.7893401	856.342857	951.8894535	1084.56543	1210.158849	1358.779186	1516.51327	
Bulgaria	BGR	GDP per capita (current US$)	NY.GDP.PCAP.CD																					2238.802958	2234.814816	2169.004011	1852.813434	1963.572676	1914.550647	2260.427281	3132.30136	2511.393063	2477.020818	2366.529821	1267.734375	1211.980878	1278.247173	1148.494399	1554.046931	1208.875103	1346.910553	1809.683845	1648.104859	1609.882452	1757.44378	2076.830682	2698.624248	3363.799644	3869.529455	4490.201777	5885.949252	7261.754492	6969.558557	6843.26695	7813.806692	7378.02473	7646.839866	7864.760672	6993.783483	7469.455638	8228.01157	
